ZCTA,Median_Household_Income
13815,83140.0
13820,80160.0
13825,102750.0
13826,
13827,83912.0
13830,69583.0
13832,58214.0
13833,70893.0
13834,
13835,97031.0
13838,74868.0
13839,59583.0
13841,71250.0
13842,123580.0
13843,82500.0
13844,66346.0
13846,32143.0
13847,
13849,78289.0
13850,107963.0
13856,71719.0
13859,68636.0
13860,157610.0
13861,
13862,77813.0
13863,90000.0
13864,64545.0
13865,84931.0
13901,83107.0
13902,
13903,83898.0
13904,66182.0
13905,85676.0
14001,95152.0
14004,103495.0
14005,102873.0
14006,77575.0
14008,81875.0
14009,92355.0
14011,97336.0
14012,77500.0
14013,79868.0
14020,85755.0
14024,93750.0
14025,122619.0
14026,100341.0
14027,
14028,113516.0
14029,175625.0
14030,94205.0
14031,154048.0
14032,169566.0
14033,93462.0
14034,81932.0
14035,97000.0
14036,105253.0
14037,101406.0
14039,99250.0
14040,87188.0
14041,98365.0
14042,66979.0
14043,88472.0
14047,90244.0
14048,66875.0
14051,155890.0
14052,124203.0
14054,93264.0
14055,96890.0
14056,
14057,96696.0
14058,107824.0
14059,119342.0
14060,78947.0
14061,
14062,80517.0
14063,92813.0
14065,73571.0
14066,74844.0
14067,99191.0
14068,148214.0
14069,101071.0
14070,64762.0
14072,123832.0
14075,114481.0
14080,102602.0
14081,66103.0
14082,71042.0
14083,
14085,136741.0
14086,116506.0
14091,66875.0
14092,102159.0
14094,96276.0
14098,70833.0
14101,71800.0
14102,125833.0
14103,83290.0
14105,92958.0
14108,101050.0
14109,
14111,105968.0
14112,
14113,101949.0
14120,97417.0
14125,76300.0
14126,149567.0
14127,148222.0
14129,81875.0
14130,69167.0
14131,107083.0
14132,112058.0
14134,
14135,
14136,81154.0
14138,61685.0
14139,86563.0
14141,103000.0
14143,103333.0
14145,97500.0
14150,95008.0
14166,96616.0
14167,85474.0
14168,
14169,
14170,115000.0
14171,69764.0
14172,94375.0
14173,
14174,96400.0
14201,30565.0
14202,
14203,
14204,46250.0
14206,59156.0
14207,43359.0
14208,54532.0
14209,76699.0
14210,56961.0
14211,38358.0
14212,43085.0
14213,66437.0
14214,92894.0
14215,53197.0
14216,96993.0
14217,95959.0
14218,62347.0
14219,90656.0
14220,81793.0
14221,135398.0
14222,147986.0
14223,95922.0
14224,104649.0
14225,79441.0
14226,117654.0
14227,97460.0
14228,102137.0
14260,
14261,
14301,58158.0
14302,
14303,42500.0
14304,78786.0
14305,67338.0
14411,77618.0
14413,
14414,97917.0
14415,81964.0
14416,98750.0
14418,75469.0
14420,99455.0
14422,90263.0
14423,116250.0
14424,105633.0
14425,100132.0
14427,89018.0
14428,109203.0
14432,89694.0
14433,79423.0
14435,84492.0
14437,84867.0
14441,72500.0
14445,76320.0
14450,129429.0
14453,
14454,106090.0
14456,90700.0
14462,86071.0
14463,93750.0
14464,98162.0
14466,89850.0
14467,109333.0
14468,110208.0
14469,97663.0
14470,84538.0
14471,80192.0
14472,150449.0
14475,121458.0
14476,99769.0
14477,97188.0
14478,148295.0
14479,
14480,81052.0
14481,78419.0
14482,84599.0
14485,96071.0
14486,90208.0
14487,107688.0
14489,84870.0
14502,118247.0
14504,83056.0
14505,122875.0
14506,173846.0
14507,101071.0
14510,73750.0
14511,54661.0
14512,80298.0
14513,76948.0
14514,114858.0
14515,
14516,88839.0
14517,82240.0
14519,100901.0
14521,89886.0
14522,97425.0
14525,104500.0
14526,136903.0
14527,84375.0
14529,71750.0
14530,78574.0
14532,94511.0
14533,83382.0
14534,168841.0
14536,78000.0
14537,116818.0
14539,
14541,72386.0
14542,
14543,147676.0
14544,68333.0
14545,80417.0
14546,109555.0
14548,95104.0
14549,
14550,74194.0
14551,74647.0
14555,68672.0
14556,
14557,
14559,116121.0
14560,87024.0
14561,90278.0
14564,140446.0
14568,112731.0
14569,78534.0
14571,95469.0
14572,88422.0
14580,123959.0
14585,65625.0
14586,142420.0
14588,
14589,104210.0
14590,71981.0
14591,76406.0
14592,72344.0
14604,123295.0
14605,34051.0
14606,71412.0
14607,86335.0
14608,46853.0
14609,76051.0
14610,148417.0
14611,37676.0
14612,101453.0
14613,40873.0
14614,143750.0
14615,68768.0
14616,75959.0
14617,113375.0
14618,152511.0
14619,77793.0
14620,97142.0
14621,44339.0
14622,93921.0
14623,79198.0
14624,99682.0
14625,146024.0
14626,102605.0
14627,
14642,
14701,70257.0
14706,104449.0
14707,63750.0
14708,76591.0
14709,71250.0
14710,78885.0
14711,85568.0
14712,104286.0
14714,113047.0
14715,56000.0
14716,55938.0
14717,76607.0
14718,75500.0
14719,71765.0
14720,71541.0
14721,
14722,250000.0
14723,69545.0
14724,89219.0
14726,68182.0
14727,79954.0
14728,110893.0
14729,95875.0
14731,88750.0
14732,
14733,71010.0
14735,81250.0
14736,92083.0
14737,71250.0
14738,80094.0
14739,58807.0
14740,77125.0
14741,87667.0
14742,
14743,68529.0
14744,95296.0
14747,74500.0
14748,80046.0
14750,96495.0
14752,
14753,68438.0
14754,87750.0
14755,80833.0
14756,
14757,84091.0
14760,74662.0
14767,63158.0
14769,80833.0
14770,69615.0
14772,94571.0
14774,
14775,56328.0
14777,63977.0
14778,
14779,53271.0
14781,82250.0
14782,85313.0
14783,147500.0
14784,96364.0
14785,
14787,86066.0
14788,
14801,72339.0
14802,104844.0
14803,63750.0
14804,95556.0
14805,56250.0
14806,82109.0
14807,84183.0
14808,58333.0
14809,70250.0
14810,71914.0
14812,82250.0
14813,82188.0
14814,105588.0
14815,106250.0
14816,85114.0
14817,108254.0
14818,99288.0
14819,70938.0
14820,75729.0
14821,88015.0
14822,69583.0
14823,86125.0
14824,68333.0
14825,71250.0
14826,76125.0
14827,
14830,111150.0
14836,78125.0
14837,77339.0
14838,81429.0
14839,98000.0
14840,108846.0
14841,85057.0
14842,76833.0
14843,72470.0
14845,93061.0
14846,98750.0
14847,94659.0
14850,129851.0
14853,
14854,
14855,79531.0
14856,
14858,86339.0
14859,91250.0
14860,76250.0
14861,69073.0
14864,95500.0
14865,73438.0
14867,89130.0
14869,82300.0
14870,115820.0
14871,98684.0
14872,73676.0
14873,64911.0
14874,101250.0
14877,61250.0
14878,108750.0
14879,73095.0
14880,87321.0
14881,85156.0
14882,108906.0
14883,72222.0
14884,62188.0
14885,72386.0
14886,97821.0
14889,78333.0
14891,76087.0
14892,73625.0
14893,
14894,62431.0
14895,80142.0
14897,66111.0
14898,59315.0
14901,47849.0
14903,80398.0
14904,74594.0
14905,94959.0
